Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
数;スウ、ス、サク、ソク、シュ;かず、かぞ.える、しばしば、せ.める、わずらわ.しい;じゅ;number, strength, fate, law, figures;米: rice, USA, metre<br>女: woman, female<br>攵: strike, hit, folding chair radical variant (no. 66);攴;ぼくにょう・ぼくづくり・とまた・のぶん・しぶん;數;会意 Compound Ideographic;number;"Young taskmaster is learning numbers by watching women haul sacks of rice past him. ""One... two... four! No, wrong! Go back, go back!"".";Women toil in the rice fields carrying heavy sacks of rice to be numbered and counted by the taskmaster.
多;タ;おお.い、まさ.に、まさ.る;;many, frequent, much;夕: evening<br>夕: evening;夕;ゆう・ゆうべ・た;(none);会意 Compound Ideographic;many;Two evenings too many!;"This reminds me of a childish pseudo-confucion rhyme: ""He who eats many prunes sits on toilet many moons""."
少;ショウ;すく.ない、すこ.し;;few, little;小: little, small<br>丿: katakana no radical (no. 4);小;しょう・ちいさい・なおがしら・つ;(none);象形 Pictographic;few;Only a few people can make an ugly face like that.;Few usually refers to three. To emphasize three, we underline the three drops in little.
万;マン、バン;よろず;かず, ま, ゆる;ten thousand;一: one, one radical (no.1);艸;くさ・くさかんむり;萬;象形 Pictographic;ten thousand;I bound ten thousand dollars together and hid it under the floor.;"We have ""one"" at the top and if you turn the kanji 90 degrees you will see arabic 4 shich means it has four zeros in front of it!"
半;ハン;なか.ば;は;half, middle, odd number, semi-, part-;丶: dot, tick or dot radical (no. 3)<br>二: two, two radical (no.2)<br>十: ten;十;じゅう・じゅうへん;(none);象形 Pictographic;half;"Imagine karate chopping the number three in half with a WALKING STICK and pausing the picture just as the first ""board"" breaks.";I think of this as a pictograph, there are three boards to cut, the first one is already in half and there are still two more to go.
形;ケイ、ギョウ;かた、-がた、かたち、なり;ち;shape, form, style;幵: put together<br>彡: three, hair ornament, short hair or fur radical (no. 59);彡;さん・さんづくり;(none);会意 Compound Ideographic;shape;Everyone in the kindergarten came up with fun and interesting shapes made out of Play-Doh, except for the kid with the amputated arm. Seems like you really need both hands.;With your two hands, outline the shape of a curvaceous woman. Is that a universally understood gesture? [Careful: mould (#680) which has two hands and soil/clay].
太;タイ、タ;ふと.い、ふと.る;おお, たか, ひろ;plump, fat, thick, big around;大: large, big<br>丶: dot, tick or dot radical (no. 3);大;だい・おおきい;(none);形声 Phonetic;plump;A large person with a big drop of sweat dripping off of him because he is so plump.;"Fat(""plump"") men always have small penises.....the kanji is a combination of ""large"" with a drop(representing the small penis between his legs)."
細;サイ;ほそ.い、ほそ.る、こま.か、こま.かい;;dainty, get thin, taper, slender, narrow;糸: thread<br>田: rice field, rice paddy;糸;いと・いとへん;(none);形声 Phonetic;dainty;Dainty women would always rather work with thread than in a field.;Spider-Man used to just be a dainty, brainy nerd.
広;コウ;ひろ.い、ひろ.まる、ひろ.める、ひろ.がる、ひろ.げる;;wide, broad, spacious;广: dotted cliff radical (no. 53)<br>厶: I, myself, katakana mu radical (no. 28);广;まだれ;廣;形声 Phonetic;wide;The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.;"A wide cave has a lot of ""elbow room""."
長;チョウ;なが.い、おさ;お, おしゃ, たかし, たけ, な, は, ひさ;long, leader;長: long, grow, leader radical (no. 168);長;ながい;(none);象形 Pictographic;long;The Geisha with long hair uses an ornate lacquered hairpin to bundle it all up.;The top of this one reminds me of the staple primitive. So here´s my story: The girl´s hair was so long that she had to use staples instead of hairpins. It worked, but stapling her hair to her head was kinda painful.
点;テン;つ.ける、つ.く、た.てる、さ.す、とぼ.す、とも.す、ぼち;;spot, point, mark, speck, decimal point;占: fortune-telling, divining, forecasting, occupy, hold, have, get, take<br>火: fire;黑;くろ・くろへん;點;形声 Phonetic;spot;The FORTUNE TELLER was burned by FLAMES on the spot because she was accused of being a witch.;You have to stimulate the G-spot with your magic wand in order to get her on fire. Or you can juste use your mouth...
丸;ガン;まる、まる.める、まる.い;ま, わ, わに;round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away;九: nine<br>丶: dot, tick or dot radical (no. 3);丶;てん・ちょぼ・ちゅ・ちゅてん;(none);象形 Pictographic;round;Nine plus a drop rounds it off to ten!;"Watch out for plump (#120). Here Heisig could have added a ""t"" and we would have had a much better keyword : rotund. Rotund is more specific than ""round"" which begs for confusion with circle (#1811). A dictionary search on ""fat"" or ""round"" doesn´t yield this kanji, but ""rotund"" does! Primitive suggestion: the Laughing Buddha is often depicted as a rotund, smiling bald man in robes with a largely exposed pot belly stomach (symbolizing plenitude)."
交;コウ;まじ.わる、まじ.える、ま.じる、まじ.る、ま.ざる、ま.ぜる、-か.う、か.わす、かわ.す、こもごも;かた;mingle, mixing, association, coming & going;亠: kettle lid radical (no. 8)<br>父: father;亠;けいさん・けいさんかんむり・なべぶた;(none);象形 Pictographic;mingle;Even though your FATHER is an old man, he can´t give up his party lifestyle. Once a week he still dons his cool TOP HAT (well, it was cool 40 years ago) and goes out on the town to MINGLE with the ladies. This is a pretty common thing in Japan, where old motherfuckers still think they can pick up 19 year old girls.;Darth Vader tries to mingle with his troops. He even weares one of the helmets of the stromtroopers. (one of them laughs: white helmet, black suit. Darth Vader thereby slashes him in 2).
光;コウ;ひか.る、ひかり;あき, あきら, こお, てる, ひこ, み, みつ;ray, light;小: little, small<br>兀: high & level, lofty, bald, dangerous;儿;にんにょう・ひとあし;(none);会意 Compound Ideographic;ray;A ray of light is not a wave but made of little photons with human legs.;The ray from Honey I Shrunk the Kids made people little - ha! look at them run around on their tiny legs!
角;カク;かど、つの;い, す, すみ, ずみ, ふさ;angle, corner, square;勹: wrapping enclosure, wrapping radical (no. 20);角;つの・かく・つのへん;(none);象形 Pictographic;angle;A museum display of two walking sticks bound together under a glass canopy, showing the first device used to measure an angle.;The gates have been bound up together leaving no angle to get through...
計;ケイ;はか.る、はか.らう;え, かず, け;plot, plan, scheme, measure;言: say<br>十: ten;言;こと・げん・ごんべん・ことば;(none);会意 Compound Ideographic;plot;A plot is a summary of a book that can be given in ten words.;Say-ten´s (satan´s) evil plot.
直;チョク、ジキ、ジカ;ただ.ちに、なお.す、-なお.す、なお.る、なお.き、す.ぐ;すぐ, なお, のう, のお;straightaway, honesty, frankness, fix, repair;十: ten<br>目: eye, class, look, insight, experience, care, favor;目;め・めへん・よこめ;(none);会意 Compound Ideographic;straightaway;If you get a needle in your eye that is hooked in there, get to a hospital straightaway.;I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.
線;セン;すじ;;line, track;糸: thread<br>泉: spring, fountain;糸;いと・いとへん;(none);形声 Phonetic;line;This kanji is used for train lines. Spiderman does a hot spring tour of Japan using the train lines. You can see the Spidey costume hanging on the washing line as he enjoys the onsen.;Japan´s train lines are like threads that spring from Tokyo station.
矢;シ;や;;dart, arrow;天: heavens, sky, imperial;矢;や・やへん;(none);象形 Pictographic;dart;Zeus ran out of lightning bolts and has to drop darts from the heavens.;Do not mistake with LOSE 失.
弱;ジャク;よわ.い、よわ.る、よわ.まる、よわ.める;;weak, frail;弓: bow, bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15)<br>弓: bow, bow (archery, violin)<br>冫: two-stroke water radical or ice radical (no. 15);弓;ゆみ・ゆみへん;(none);会意 Compound Ideographic;weak;Two weak archers agree on a duel to the death. They constantly shoot at each other but never manage to hit their target. But what they lack in skill they make up in determination, and they keep shooting for hours, and days, and months, until it´s wintertime and their bows are coated in ice.;BOWS with ICE on them are brittle and WEAK.
強;キョウ、ゴウ;つよ.い、つよ.まる、つよ.める、し.いる、こわ.い;すね;strong;弓: bow, bow (archery, violin)<br>厶: I, myself, katakana mu radical (no. 28)<br>虫: insect, bug, temper;弓;ゆみ・ゆみへん;(none);会意 Compound Ideographic;strong;An insect who can fly vast distances is strong.;Legolas is so strong that he can even shoot down vast numbers of tiny insects at vast distances with ease.
高;コウ;たか.い、たか、-だか、たか.まる、たか.める;か, こ, じょい, た, はか;tall, high, expensive;亠: kettle lid radical (no. 8)<br>口: mouth<br>冂: upside-down box radical (no. 13)<br>口: mouth;高;たかい;(none);会意 Compound Ideographic;tall;Two little aliens in a trenchcoat and top hat, trying to look TALL. The bottom one, in the glass helmet, is under the coat. The top one has his top hat pulled down in disguise, so all you can see is his mouth.;Here we have TWO MOUTHS each wearing a different hat. The top one is wearing a TOP HAT which is know to be as a TALL hat. The bottom one is wearing a SPACE HELMET which is known as an EXPENSIVE hat. (this kanji means both).
同;ドウ;おな.じ;;same, agree, equal;冂: upside-down box radical (no. 13)<br>一: one, one radical (no.1)<br>口: mouth;口;くち・くちへん;(none);会意 Compound Ideographic;same;Muslim women wearing veils (HOOD) all look the same, you can just see ONE MOUTH and very little else.;Imagine monks wandering around the monastery. Covered in their hoods and chanting as if with one mouth they all look the same !
親;シン;おや、おや-、した.しい、した.しむ;ぎ, ちか, のり;parent, intimacy, relative, familiarity, dealer (cards);立: stand up, rise, set up, erect<br>木: tree, wood<br>見: see, hopes, chances, idea, opinion, look at, visible;見;みる;(none);会意 Compound Ideographic;parent;"A wise parent lets their kids learn. A kid wants to try to eat the red pepper plant, the wise parent says ""Try it and see for yourself"".";I remember this one the way the Japanese do: a parent standing on top of a tree watching what his or her kid is doing.
母;ボ;はは、も;;mama, mother;毋: do not, must not, be not, mother radical (no. 80);毋;なし・なかれ ・ははのかん;(none);象形 Pictographic;mama;The two breasts of a momma who breastfeeds.;This mama had twins, one mouth for each nipple.
父;フ;ちち;;father;父: father, father radical (no. 88);父;ちち;(none);会意 Compound Ideographic;father;Luke, I am your father. Darth Vader (really surprised nobody put this one up before: 2 laserswords).;Not to confuse anyone, but I think if you put your mind to it, you can see the image of a father here. The first two strokes take on the form of his eye brows, and the third and fourth stroke make up the nose and mustache.
姉;シ;あね、はは;;elder sister;女: woman, female<br>市: market, city, town;女;おんな・おんなへん;(none);形声 Phonetic;elder sister;Unlike the younger sister (妹), who is not yet old enough to date... the elder sister is on the market!;She´s old enough to be allowed to go to the market.
兄;ケイ、キョウ;あに;え, せ, よし;elder brother, big brother;口: mouth<br>八: eight, eight radical (no. 12);儿;にんにょう・ひとあし;(none);会意 Compound Ideographic;elder brother;My elder brother was basically a mouth on legs when he was a teenager.;Mother, why is elder brother´s mouth between the neighbor girl´s legs?
弟;テイ、ダイ、デ;おとうと;て;younger brother, faitherful service to elders;八: eight, eight radical (no. 12)<br>弔: condolences, mourning, funeral<br>丿: katakana no radical (no. 4);弓;ゆみ・ゆみへん;(none);象形 Pictographic;younger brother;Younger brothers are always more prone to mischief. Mine, you can almost see the little horns on him and the dollar signs on his eyes when he comes up with a money-making scheme.;The younger brother was a horny dollar -chasing bastard.
妹;マイ;いもうと;す, せ, も;younger sister;女: woman, female<br>未: un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac;女;おんな・おんなへん;(none);形声 Phonetic;younger sister;My younger sister is NOT YET a fully grown WOMAN.;Is your younger sister a woman? Not yet! Damn!
自;ジ、シ;みずか.ら、おの.ずから、おの.ずと;より;oneself;目: eye, class, look, insight, experience, care, favor;自;みずから;(none);象形 Pictographic;oneself;Faced with his clone, our hero valiantly cut a mark on his forehead right above his eye so that his comrades could tell his true oneself from the enemy.;To use an eyedropper by oneself, aim from above to put a drop into the eye.
友;ユウ;とも;う, ど, ゆ;friend;又: or again, furthermore, on the other hand;又;また;(none);会意 Compound Ideographic;friend;A good friend is always at your side. ---- I teach at a Japanese High School, and I often see chummy male students grabbing each other´s crotches in a joking manner. It´s still weird to me, but apparently reaching to your side and grabbing you neighbor´s crotch is a great way to express friendship.;Think of a sex friend (a fuck buddy if you will). The benefit of such a relationship is that there will always be a crotch by your side. (the Japanese refer to such a friend as セフレ, just as we do).
体;タイ、テイ;からだ、かたち;なり;body, substance, object, reality, counter for images;人: person<br>本: book, present, main, origin, true, real, counter for long cylindrical things;骨;ほね・ほねへん;體;形声 Phonetic;body;Mister T works out his body (body-building), using two piles of books (i.e. an exercise that can be done at home with two chairs, similar to push-ups but working mostly the shoulders, trapezius and triceps).;Mr. T works out his body then rips a book apart to test is body. His favorite to destroy is Dianetics.
毛;モウ;け;めん, も;fur, hair, feather, down;毛: fur, hair, fur radical (no. 82);毛;け;(none);象形 Pictographic;fur;I´ve heard of people having hair on the back of their hands, but this is ridiculous! That´s not hair, that´s fur!;Be careful not to pet a cat the wrong way - most cats don´t like you rubbing your hand backwards over their fur.
頭;トウ、ズ、ト;あたま、かしら、-がしら、かぶり;かみ, がみ, ちゃん, つむり, づ;head, counter for large animals;豆: beans, pea, midget<br>頁: page, leaf;頁;おおがい・いちのかい;(none);形声 Phonetic;head;The head of the family sits at the head of the table.;Mr Bean´s head.
顔;ガン;かお;;face, expression;彦: lad, boy (ancient)<br>頁: page, leaf;頁;おおがい・いちのかい;(none);形声 Phonetic;face;A lad's head still has a baby's face.;When I was a lad, a pretty face was all it took for someone to get in my head, and I´d fill pages of lovelorn letters to them.
首;シュ;くび;おびと, こべ, す;neck;自: oneself;首;くび;(none);象形 Pictographic;neck;The V shape is your neck on top of your collar bone, or the straight line. Yourself, or the rest of your body is below that!;The mooses neck supports it´s big horns and long nose.
心;シン;こころ、-ごころ;;heart, mind, spirit;心: heart, heart radical (no. 61);心;こころ・したごころ・りっしんべん;(none);象形 Pictographic;heart;"The four chambers in the heart. In the West, we point to our head when asked about the mind. In the East, they point to the heart. So then, the radical for ""state of mind""…";Heart needs three drops of blood to work.
時;ジ;とき、-どき;と, とぎ;time, hour;日: day, sun, Japan, counter for days<br>寺: Buddhist temple;日;ひ・ひへん・にち・にちへん;(none);形声 Phonetic;time;When the SUN starts to shine on the TEMPLE, it´s time to get up.;In ancient Japan, TIME of ´´day´´ was announced at the ´´buddhist temples´´. They did this by ringing large iron bells. This is similar to churches who ring their bells to announce the time of day.
曜;ヨウ;;てる;weekday;日: day, sun, Japan, counter for days<br>羽: feathers, counter for birds, rabbits<br>隹: bird, old bird radical (no. 172);日;ひ・ひへん・にち・にちへん;(none);形声 Phonetic;weekday;"Tip: feathers + turkey : This combination of primitives appears six times in Heisig, so it´s worthwhile giving it a name. I suggest ""futon"" (your futon is made from turkey feathers). REF: weekday (FRAME 576) , laundry (#577), leap (#1285), outstanding (#2272), twinkle (#2534), shimmering (#2880). Story: On weekdays you hang your futon out in the sun.";The poor farmer spends every weekday while the sun shines, plucking turkey feathers.
朝;チョウ;あさ;あ, あそ, ささ, ちか, とも;morning, dynasty, regime, epoch, period, (North) Korea;十: ten<br>早: early, fast<br>肉: meat;月;つき・つきへん;(none);会意 Compound Ideographic;morning;There is mist as the moon fades away in the morning.;"Morning has come ""ten"" hours ""early""!!! The ""moon"" is still in the sky!"
昼;チュウ;ひる;;daytime, noon;尺: shaku, Japanese foot, measure, scale, rule<br>旦: daybreak, dawn, morning;日;ひ・ひへん・にち・にちへん;晝;会意 Compound Ideographic;daytime;Roosters in Japan are very civilised, they play the shakuhachi at nightbreak to signify the beginning of daytime.;In a Zelda game, you can warp to the daytime if you play your shakuhachi to bring about nightbreak... or your ocarina if you don´t have a shakuhachi.
夜;ヤ;よ、よる;;night, evening;亠: kettle lid radical (no. 8)<br>人: person<br>夕: evening;夕;ゆう・ゆうべ・た;(none);会意 Compound Ideographic;night;"Actually, the lower-right primitive isn´t quite ""walking legs."" It´s a little more like ""evening"" with an extra stroke across it (look up the stroke order). So, it helps me to see this kanji for night as: evening plus an extra stroke representing the tuxedo tails to match the top hat which my special person is wearing out on the town...";Here we have Mister T sleepwalking, wearing a top hat as if he was the ambassador of the night, walking, and walking and walking on his tired walking legs, until he drops (back into his bed).
分;ブン、フン、ブ;わ.ける、わ.け、わ.かれる、わ.かる、わ.かつ;いた, わけ;part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/10;八: eight, eight radical (no. 12)<br>刀: sword, saber, knife;刀;かたな・りっとう;(none);会意 Compound Ideographic;part;When something is entered by a dagger, it ends up being cut in several parts.;"(This kanji also has the meanings of ""understand"" and ""minute""). It´s important to understand that were you to enter an hour with a dagger and cut it into parts, those parts would be minutes."
週;シュウ;;;week;周: circumference, circuit, lap<br>辶: walk, walking, road radical variant (no. 162);辵;しんにょう・しんにゅう;(none);形声 Phonetic;week;Imagine a road built so well that it takes only a week to travel the circumference of the earth.;Actually the week is like a never ending road where we travel in a circle through the same seven days again and again, the circumference is always the same. circumference (#317) also means circuit or lap, so that also makes think about the rotations of the moon, sun and the earth -- all important for measuring all kinds of time periods.
春;シュン;はる;あずま, かす, すの, ひ, わら;springtime, spring (season);三: three<br>大: large, big<br>日: day, sun, Japan, counter for days;日;ひ・ひへん・にち・にちへん;(none);形声 Phonetic;springtime;In the springtime bonsai get plenty of sun.;When it´s springtime you can only leave the bonsai out when the sun has gone down. Their little leaves can´t handle too much heat.
夏;カ、ガ、ゲ;なつ;;summer;一: one, one radical (no.1)<br>自: oneself<br>夂: winter radical (no. 34);夊;なつあし・すいにょう;(none);象形 Pictographic;summer;In SUMMER you are hot from the top of your head down to your walking legs.;I personally think it was too confusing to try and use head as the primitive. (How am I supposed to remember that the animal legs are replaced with walking legs instead of human legs?) Rather, I think have the image of a hot summer and you want to keep oneself under a ceiling not out jogging around.
秋;シュウ;あき、とき;あい;autumn;禾: 2-branch tree radical (no. 115)<br>火: fire;禾;のぎ・のぎへん;(none);会意 Compound Ideographic;autumn;In AUTUMN, the WHEAT looks the color of FIRE, meaning it´s time to harvest it.;Every autumn the wheat is set on fire to clear the way for next year´s crop...
冬;トウ;ふゆ;;winter;夂: winter radical (no. 34)<br>冫: two-stroke water radical or ice radical (no. 15);冫;にすい;(none);象形 Pictographic;winter;Don´t slip off your legs in winter, strap two skis to your feet.;In winter my walking legs feel like blocks of ice.
今;コン、キン;いま;な;now;人: person<br>一: one, one radical (no.1);人;ひと・にんべん・ひとやね;(none);仮借 Loan;now;My MEETING is at 7- but that´s NOW!;(re: ruuku35) The meeting is not at quarter to seven but now!
新;シン;あたら.しい、あら.た、あら-、にい-;あせ, あたらし, し, に, にっ, につ, よし;new;立: stand up, rise, set up, erect<br>木: tree, wood<br>斤: axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69);斤;おの・おのづくり・きん;(none);会意 Compound Ideographic;new;Don't confuse left primitive with catalpa (#1498). Every time the farmer cuts down the peppers from the red pepper plant, he has to use a brand new axe. This is because the spicy peppers cause the metal to erode very quickly, thereby rendering the axe completely useless.;Axe-man grows a patch of red pepper plants in his back garden. He rubs red peppers on the edge of his axes, and this seems to keep them sharp like brand new.
古;コ;ふる.い、ふる-、-ふる.す;ふゆ;old;十: ten<br>口: mouth;口;くち・くちへん;(none);会意 Compound Ideographic;old;Tombstone and cross on an old man´s grave.;You get OLD fast if you have ten open mouths to feed.
間;カン、ケン;あいだ、ま、あい;ちか, は, はざ, はし;interval, space;門: gate, counter for cannons<br>日: day, sun, Japan, counter for days;門;もん・もんがまえ・かどがまえ;(none);会意 Compound Ideographic;interval;The interval between star systems (suns) was too large, so the stargates were created to travel between them.;We open the gates at regular intervals to let a bit of sun in.
方;ホウ;かた、-かた、-がた;から, な, なた, ふさ, まさ, みち, も, わ;direction, person, alternative;亠: kettle lid radical (no. 8);方;ほう・ほうへん・かた・かたへん;(none);象形 Pictographic;direction;Note: The primitives are top hat and bound up. Compare ten thousand (#64). Story: A rich man wearing a top hat and bound up from head to toe hobbles up to you and asks for directions to the nearest police station because he just escaped from his kidnappers.;I always keep my directions bound to the bottom of my top hat so I won´t lose them.
北;ホク;きた;きら, ほう, ほっ, ほつ;north;匕: spoon, spoon or katakana hi radical (no. 21);匕;さじ・さじのひ・さじづくり・ひ;(none);会意 Compound Ideographic;north;Warning: The left part is NOT the primitive turtle! The stroke order is different. Sometimes it will look exactly the same but not always depending on the font / style used to draw this character. Be sure to study the difference!;In the north, the weather is so cold that people are often seen sitting back to back to preserve warmth.
南;ナン、ナ;みなみ;なみ, は, みな, みまみ;south;十: ten<br>冂: upside-down box radical (no. 13)<br>干: dry, parch;十;じゅう・じゅうへん;(none);象形 Pictographic;south;South of my belt leads to happiness.;"In the south (Southern Alabama, Southern Africa, picture any south, but choose one and stick with it) ""they measure happyness by the belt"". If someone has a larger belly (and a longer belt), it is believed they are well fed and thus are happy."
東;トウ;ひがし;あい, あがり, あずま, あづま, こ, さき, しの, とお, はる, ひが, もと;east;木: tree, wood<br>日: day, sun, Japan, counter for days;木;き・きへん;(none);仮借 Loan;east;Traditionally seen as a pictograph of the sun rising behind a tree.;The sun pierces through the trees as it rises in the east…
西;セイ、サイ、ス;にし;いり, ひし, むら;west, Spain;襾: west, west radical (no. 146);襾;にし・かなめのかしら・おおいかんむり;(none);仮借 Loan;west;The old west represented by a completely empty whiskey bottle (compare sign of the bird (#1427) whiskey bottle about one third full).;Note: this kanji is also used to denote Spain.
遠;エン、オン;とお.い;お, おに, ど, どお;distant, far;袁: long kimono<br>辶: walk, walking, road radical variant (no. 162);辵;しんにょう・しんにゅう;(none);形声 Phonetic;distant;Keep distant from a lidded crock on the road wrapped in a scarf. It might be a bomb.;When traveling to a distant land, what better way of keeping warm on the road is there than carrying a warm lidded crock and wearing a scarf?
近;キン、コン;ちか.い;おう, おお, この;near, early, akin, tantamount;斤: axe, 1.32 lb, catty, counter for loaves of bread, axe radical (no. 69)<br>辶: walk, walking, road radical variant (no. 162);辵;しんにょう・しんにゅう;(none);形声 Phonetic;near;The end is near. The axe-murderer is waiting for you on the road...;An absurd image, but working for me: two points A and B are separated by a long road. To make A and B near, take an ax, cut a big chunk of road, and the work is done.
前;ゼン;まえ、-まえ;さき, さと, まい;in front, before;八: eight, eight radical (no. 12)<br>月: month, moon<br>刀: sword, saber, knife;刀;かたな・りっとう;(none);会意 Compound Ideographic;in front;When I get horny my flesh sword sticks out in front of me.;If you stand in front of a bull´s horns, you are asking for your flesh to be cut (or butchered if you prefer).
後;ゴ、コウ;のち、うし.ろ、うしろ、あと、おく.れる;こし, し, しい, しり;behind, back, later;彳: stop, linger, loiter, going man radical (no. 60)<br>幺: short thread radical (no. 52)<br>夂: winter radical (no. 34);彳;ぎょうにんべん;(none);会意 Compound Ideographic;behind;Column of walking legs (caterpillar) getting into a cocoon, about to leave its past self behind.;after a grub goes through the cocoon stage, it leaves its walking legs behind for a life of flight.
内;ナイ、ダイ;うち;いと, ただ, ち, のち;inside, within, between, among, house, home;冂: upside-down box radical (no. 13)<br>人: person;入;いる・にゅう・いりがしら・いりやね;(none);象形 Pictographic;inside;Mr. T´s new belt is huge! When he´s inside it, his feet no longer touch the ground!;How is a person ever supposed to get inside that girl when she´s wearing such a huge chastity belt? I guess that´s kinda the point, eh?
外;ガイ、ゲ;そと、ほか、はず.す、はず.れる、と-;うい, け, ふか;outside;夕: evening<br>卜: divination;夕;ゆう・ゆうべ・た;(none);会意 Compound Ideographic;outside;A young magician likes to practice outside in the evening with his magic wand (as opposed to the old magician who wakes early to practice with his wand in eminent (#51)).;Outside in the dark of evening, only a magic wand can help you.
場;ジョウ、チョウ;ば;;location, place;土: soil, earth, ground, Turkey<br>昜: open, sun;土;つち・つちへん・どへん;(none);形声 Phonetic;location;You´re looking for a good location to bury your piggy bank savings. It has to be in some soft soil that´s easy to dig up, well hidden, and easy to remember like this kanji.;Don´t confuse with place (#1127). Think of location not as a single fixed spot, but as the act of locating. You´ve buried your piggy bank in the dirt in your backyard, but you can´t remember where. You frantically dig everywhere in a process of location to find your piggy bank.
地;チ、ジ;;どま;ground, earth;土: soil, earth, ground, Turkey<br>也: to be (classical);土;つち・つちへん・どへん;(none);形声 Phonetic;ground;Picture the ground as an extent of soil where scorpions are buried like land mines. Imagine a sign post saying ´no trespassing, scorpion mines´ if that helps, and how it is dangerous to walk there.;The soil is littered with scorpions everywhere and no ones dares put their foot on the ground.
国;コク;くに;くな, こ;country;囗: box or enclosure radical (no. 31), box<br>玉: jewel, ball;囗;くに・くにがまえ;國;会意 Compound Ideographic;country;In my country (England) the crown jewels are kept pent-in in the Tower of London. Which happens to be where enemies of the state were once also pent-in (probably for trying to steal those jewels).;Just think of Japan, a country which is like a jewel but historically very enclosed.
園;エン;その;おん, ぞの;park, garden, yard, farm;囗: box or enclosure radical (no. 31), box<br>袁: long kimono;囗;くに・くにがまえ;(none);形声 Phonetic;park;A nice picnic pent up in the park, with your crock pot and scarf (picnic blanket).;There was a homeless man living in a box at the park so I gave him a lidded crock filled with hot curry tied with a scarf...
谷;コク;たに、きわ.まる;がい, がえ, がや, せ, たり, たん, や;valley;口: mouth;谷;たに・たにへん;(none);象形 Pictographic;valley;This could be seen as a very accurate pictograph of another type of valley: a valley mouth open under the umbrella of inner labia, with the outer labia parted above. There are even more connections to be made among the primitive keywords and the visuals, but i will enter no further...;Think of the classic anime 風の谷のナウシカ (Nausicaa of the Valley of the Wind). We see Nausicaa entering the valley mouth gliding on an umbrella.
野;ヤ、ショ;の、の-;ずけ, つけ, ぬ;plains, field, rustic, civilian life;里: ri, village, parent's home, league<br>予: beforehand, previous, myself, I;里;さと・さとへん;(none);形声 Phonetic;plains;These days we all work in front of computers. Beforehand we all worked out in the fields, in the plains.;The plains are a challenging place to get any work done. Be sure you recharge your computer´s battery beforehand, or you won´t get anything done.
原;ゲン;はら;た, ばる, ら, わた, わら;meadow, original, primitive, field, plain, prairie, tundra, wilderness;厂: wild goose, trailing cliff radical (no. 27)<br>白: white<br>小: little, small;厂;がんだれ;(none);象形 Pictographic;meadow;Follow the springs down the cliff and you will find a nice meadow.;Sorry about this, but Heisig was stupid calling this kanji meadow, used in composite words the most common meaning is ORIGIN... To remember just think that life may have begun in pounds or springs in a land with many cliffs ... Just to answer correctly the review lessons think of meadow as the origin of a huge forest.
